scheme_code,scheme_name,nav,nav_date,repurchase_price,sale_price,amc_name,code_valid,is_duplicate,_source_file,_ingested_at,_schema_valid
119551,Axis Bluechip Fund — Growth,193.5247,2024-01-01,191.5895,193.5247,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
120503,Mirae Asset Large Cap Fund — Growth,475.85,2024-01-01,471.0915,475.85,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
122639,SBI Small Cap Fund — Growth,368.677,2024-01-01,364.9902,368.677,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
125497,HDFC Mid-Cap Opportunities Fund — Growth,303.3427,2024-01-01,300.3093,303.3427,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
118989,ICICI Prudential Technology Fund — Growth,86.4491,2024-01-01,85.5846,86.4491,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
119551,Axis Bluechip Fund — Growth,86.4373,2024-01-02,85.5729,86.4373,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
120503,Mirae Asset Large Cap Fund — Growth,38.461,2024-01-02,38.0764,38.461,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
122639,SBI Small Cap Fund — Growth,434.4263,2024-01-02,430.082,434.4263,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
125497,HDFC Mid-Cap Opportunities Fund — Growth,304.5464,2024-01-02,301.5009,304.5464,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
118989,ICICI Prudential Technology Fund — Growth,356.9556,2024-01-02,353.386,356.9556,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
119551,Axis Bluechip Fund — Growth,20.0864,2024-01-03,19.8855,20.0864,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
120503,Mirae Asset Large Cap Fund — Growth,485.2558,2024-01-03,480.4032,485.2558,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
122639,SBI Small Cap Fund — Growth,417.8969,2024-01-03,413.7179,417.8969,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
125497,HDFC Mid-Cap Opportunities Fund — Growth,114.0462,2024-01-03,112.9057,114.0462,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
118989,ICICI Prudential Technology Fund — Growth,99.0942,2024-01-03,98.1033,99.0942,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
119551,Axis Bluechip Fund — Growth,99.8682,2024-01-04,98.8695,99.8682,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
120503,Mirae Asset Large Cap Fund — Growth,159.0787,2024-01-04,157.4879,159.0787,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
122639,SBI Small Cap Fund — Growth,267.1307,2024-01-04,264.4594,267.1307,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
125497,HDFC Mid-Cap Opportunities Fund — Growth,221.6531,2024-01-04,219.4366,221.6531,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
118989,ICICI Prudential Technology Fund — Growth,152.7023,2024-01-04,151.1753,152.7023,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
119551,Axis Bluechip Fund — Growth,309.8079,2024-01-05,306.7098,309.8079,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
120503,Mirae Asset Large Cap Fund — Growth,78.352,2024-01-05,77.5685,78.352,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
122639,SBI Small Cap Fund — Growth,153.1509,2024-01-05,151.6194,153.1509,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
125497,HDFC Mid-Cap Opportunities Fund — Growth,189.5173,2024-01-05,187.6221,189.5173,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
118989,ICICI Prudential Technology Fund — Growth,233.4743,2024-01-05,231.1396,233.4743,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
119551,Axis Bluechip Fund — Growth,394.7362,2024-01-06,390.7888,394.7362,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
120503,Mirae Asset Large Cap Fund — Growth,107.8402,2024-01-06,106.7618,107.8402,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
122639,SBI Small Cap Fund — Growth,261.9749,2024-01-06,259.3552,261.9749,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
125497,HDFC Mid-Cap Opportunities Fund — Growth,300.2831,2024-01-06,297.2803,300.2831,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
118989,ICICI Prudential Technology Fund — Growth,32.7607,2024-01-06,32.4331,32.7607,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
119551,Axis Bluechip Fund — Growth,307.697,2024-01-07,304.62,307.697,Demo AMC,True,False,demo_nav_data.csv,2026-06-12T18:44:29,True
