scheme_code,scheme_name,sortino_ratio
118989,ICICI Prudential Technology Fund - Direct Growth,-0.12967787026555572
119551,Axis Bluechip Fund - Direct Growth,1.4332869737238774
119598,Kotak Bluechip Fund - Direct Growth,-0.39027746998915697
120465,Nippon India Large Cap Fund - Direct Growth,-0.33035676540189257
120503,Mirae Asset Large Cap Fund - Direct Growth,1.626705688949579
120594,DSP Top 100 Equity Fund - Direct Growth,1.8183731442409488
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,0.008404755775196397
122639,SBI Small Cap Fund - Direct Growth,0.6122748277026798
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,-0.6205209565958384
135781,Parag Parikh Flexi Cap Fund - Direct Growth,-0.516134807310981
