nav_date,open,high,low,close,adj_close,volume,is_duplicate,_source_file,_ingested_at,_schema_valid
2022-01-01,17986.67629378529,18094.812624208847,17950.630850310772,18022.72173725981,18022.72173725981,310850682,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-02,17999.265845427755,18107.477864538545,17963.195172390828,18035.336518464686,18035.336518464686,285751955,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-03,18130.56223562672,18239.56361179281,18094.228443571355,18166.896027682084,18166.896027682084,229723877,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-04,18444.0524329122,18554.93851968321,18407.090403988528,18481.01446183587,18481.01446183587,170974295,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-05,18300.254970175723,18410.276543142714,18263.58111252006,18336.928827831387,18336.928827831387,315262217,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-06,18338.588069208938,18448.84010168915,18301.837391715533,18375.338746702346,18375.338746702346,202919199,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-07,18623.74160379424,18735.707986181784,18586.41947633173,18661.06373125676,18661.06373125676,332497843,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-08,18810.110677876382,18923.19751561913,18772.415065295478,18847.8062904573,18847.8062904573,154109070,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-09,18689.38107341561,18801.742081873024,18651.92740392981,18726.834742901417,18726.834742901417,245672804,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-10,18816.29429981028,18929.41831363679,18778.58629520144,18854.002304419115,18854.002304419115,278339027,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-11,18696.13209317677,18808.53368892733,18658.664894593247,18733.59929176029,18733.59929176029,302801154,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-12,18592.205621394667,18703.98240869764,18554.946692293677,18629.464550495657,18629.464550495657,189911037,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-13,18711.789106747277,18824.28483283994,18674.29053138305,18749.28768211149,18749.28768211149,326187384,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-14,18361.48699721437,18471.876698600438,18324.69043008569,18398.283564343063,18398.283564343063,279972007,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-15,18065.699373573934,18174.31079265354,18029.495567214068,18101.903179933804,18101.903179933804,159622823,False,nifty100.csv,2026-06-12T18:44:30,False
2022-01-16,18001.719608997282,18109.946380193654,17965.64401859849,18037.795199396078,18037.795199396078,187392619,False,nifty100.csv,2026-06-12T18:44:30,False
