scheme_code,scheme_name,sharpe_ratio
118989,ICICI Prudential Technology Fund - Direct Growth,-0.0922971941311797
119551,Axis Bluechip Fund - Direct Growth,0.957263583409207
119598,Kotak Bluechip Fund - Direct Growth,-0.27757524165465175
120465,Nippon India Large Cap Fund - Direct Growth,-0.23518555848358305
120503,Mirae Asset Large Cap Fund - Direct Growth,1.0743901424779518
120594,DSP Top 100 Equity Fund - Direct Growth,1.2237508953309375
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,0.006177003249424761
122639,SBI Small Cap Fund - Direct Growth,0.41146137661711807
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,-0.44477462841137805
135781,Parag Parikh Flexi Cap Fund - Direct Growth,-0.3618922683250863
