scheme_code,scheme_name,historical_var_95,conditional_var_95
118989,ICICI Prudential Technology Fund - Direct Growth,0.023323890883604235,0.030088770715254957
119551,Axis Bluechip Fund - Direct Growth,0.021001916809364866,0.02869919202653679
119598,Kotak Bluechip Fund - Direct Growth,0.024566139009717047,0.031330301865623085
120465,Nippon India Large Cap Fund - Direct Growth,0.024568859509412233,0.03211222968093097
120503,Mirae Asset Large Cap Fund - Direct Growth,0.0209057143904237,0.02849419129711503
120594,DSP Top 100 Equity Fund - Direct Growth,0.022844223922482542,0.030827233552921163
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,0.021388656863704492,0.0293389464958942
122639,SBI Small Cap Fund - Direct Growth,0.022524446399905605,0.0295101782865905
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,0.023307328270940064,0.02891233111895586
135781,Parag Parikh Flexi Cap Fund - Direct Growth,0.022289362857021395,0.028622037516778248
