scheme_code,scheme_name,full_date,nav,daily_return
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-01,222.1312,0.0
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-02,221.1422,-0.0044523236717759485
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-03,219.4095,-0.007835230001329463
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-04,215.7252,-0.01679188913880214
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-05,216.189,0.002149957445861661
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-06,217.7939,0.00742359694526562
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-07,219.2267,0.006578696648528615
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-08,221.4714,0.010239172509552974
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-09,222.422,0.0042922020631106506
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-10,221.0891,-0.005992662596325915
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-11,223.4052,0.01047586696947067
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-12,219.8552,-0.015890408996746763
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-13,217.5669,-0.010408214133666105
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-14,215.1366,-0.011170357255630425
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-15,218.011,0.013360813548229489
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-16,220.5647,0.011713629128805358
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-17,221.9427,0.0062475999105930935
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-18,224.8864,0.01326333328377105
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-19,222.6035,-0.01015134752479474
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-20,223.6237,0.004583036654859596
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-21,223.3772,-0.0011022981911131824
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-22,225.7366,0.010562402966820317
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-23,225.5148,-0.0009825610911123883
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-24,224.5633,-0.004219235278571598
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-25,226.1107,0.006890707430822429
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-26,228.5785,0.010914123037963241
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-27,226.8367,-0.0076201392519418265
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-28,226.7612,-0.0003328385574292714
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-29,223.9717,-0.012301487203278172
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-30,217.3473,-0.02957695101657931
118989,ICICI Prudential Technology Fund - Direct Growth,2022-01-31,217.9571,0.0028056479192517525
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-01,219.6369,0.007707021244088841
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-02,220.4155,0.003544941674190394
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-03,215.3471,-0.022994753091320708
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-04,214.5266,-0.0038101279283538902
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-05,208.9017,-0.026220058491580933
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-06,212.4189,0.01683662698771715
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-07,209.7355,-0.012632585895134607
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-08,212.979,0.01546471627359236
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-09,215.4816,0.01175045427013921
118989,ICICI Prudential Technology Fund - Direct Growth,2022-02-10,213.2391,-0.010406921054976315
