scheme_code,scheme_name,cagr_1y,cagr_3y,cagr_5y,sharpe_ratio,sortino_ratio,beta,alpha_annual,max_drawdown,tracking_error,expense_ratio,rank_returns,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,scorecard_score,final_scorecard_rank
120594,DSP Top 100 Equity Fund - Direct Growth,0.40749153104378144,0.3977660461277013,-0.011953,1.2237508953309375,1.8183731442409488,-0.04361110857902125,0.2888425215215856,-0.24728136702763,0.2756466318029561,0.597,1.0,1.0,1.0,4.0,4.0,1.75,1
120503,Mirae Asset Large Cap Fund - Direct Growth,0.1050592862326245,0.3314823004988754,-0.013351,1.0743901424779518,1.626705688949579,-0.032331730276604444,0.23870898262281584,-0.17467430918266613,0.26335952449014105,0.556,2.0,2.0,2.0,2.0,1.0,1.9000000000000001,2
119551,Axis Bluechip Fund - Direct Growth,0.9631240126465592,0.2985943119666603,0.029798,0.957263583409207,1.4332869737238774,0.017254799956783584,0.21225949205188166,-0.23775384333075067,0.26130242072601173,0.7227,3.0,3.0,3.0,5.0,2.0,3.2,3
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,0.0100657855707742,0.047167606307836785,0.035459,0.006177003249424761,0.008404755775196397,-0.03161906120184418,0.0028119184199100426,-0.24109187039785968,0.25288473908535575,0.5776,5.0,5.0,5.0,3.0,3.0,4.5,4
122639,SBI Small Cap Fund - Direct Growth,-0.02684867749584141,0.14661516697731147,0.006986,0.41146137661711807,0.6122748277026798,0.04724955362635588,0.09140760205834066,-0.3199844581147717,0.2632207392685208,1.1587,4.0,4.0,4.0,9.0,7.0,5.05,5
118989,ICICI Prudential Technology Fund - Direct Growth,-0.12068994255966481,0.02131426470092057,-0.003261,-0.0922971941311797,-0.12967787026555572,0.03921504348064461,-0.022176411902729266,-0.29882062703313605,0.25779408176815805,1.1774,6.0,6.0,6.0,10.0,6.0,6.6,6
120465,Nippon India Large Cap Fund - Direct Growth,-0.030172166100467468,-0.021523367208153732,0.018771,-0.23518555848358305,-0.33035676540189257,0.055949579687300806,-0.05943186531637359,-0.27368064577018314,0.2749284596609373,0.9484,7.0,7.0,7.0,8.0,5.0,6.95,7
119598,Kotak Bluechip Fund - Direct Growth,-0.027128446364499625,-0.026005965155257216,-0.01145,-0.27757524165465175,-0.39027746998915697,-0.0010205799291859595,-0.06396424769078841,-0.42486920334556194,0.26952005126188877,0.8737,8.0,8.0,8.0,7.0,9.0,7.95,8
135781,Parag Parikh Flexi Cap Fund - Direct Growth,-0.2037978373503554,-0.03967549905250389,0.036558,-0.3618922683250863,-0.516134807310981,-0.09319278246742681,-0.07561798903410363,-0.3510911869529751,0.26775305636579444,0.8182,9.0,9.0,9.0,6.0,8.0,8.45,9
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,-0.2329771346159566,-0.05710620357955254,0.009159,-0.44477462841137805,-0.6205209565958384,0.08359217233884023,-0.10184364976431604,-0.49766794188457264,0.2537825263419886,0.4567,10.0,10.0,10.0,1.0,10.0,8.65,10
