nav_date,open,high,low,close,adj_close,volume,is_duplicate,_source_file,_ingested_at,_schema_valid
2022-01-01,17682.07544180992,17788.380504586334,17646.640420884447,17717.51046273539,17717.51046273539,195447478,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-02,17661.57471242984,17767.756524328215,17626.18077513038,17696.968649729297,17696.968649729297,263632101,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-03,17780.294755265466,17887.19031491636,17744.6629020485,17815.92660848243,17815.92660848243,205961553,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-04,18057.18505186668,18165.745282639426,18020.998308275764,18093.371795457595,18093.371795457595,337594905,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-05,18018.96291441157,18127.293352774766,17982.852768290504,18055.073060532635,18055.073060532635,210945797,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-06,17980.824634851102,18088.92578496043,17944.790918147995,18016.85835155421,18016.85835155421,161199747,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-07,18271.100119663926,18380.94641296852,18234.4846885624,18307.715550765457,18307.715550765457,222548971,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-08,18415.956563964115,18526.67373769536,18379.050839387037,18452.8622885412,18452.8622885412,332944626,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-09,18333.78096388496,18444.004095932367,18297.03991986916,18370.522007900763,18370.522007900763,341652636,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-10,18437.62614571313,18548.47359749096,18400.67699512052,18474.57529630574,18474.57529630574,291299258,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-11,18356.465612843946,18466.82512554641,18319.679108609784,18393.252117078096,18393.252117078096,332712444,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-12,18275.239800755688,18385.11098192256,18238.616073700065,18311.86352781131,18311.86352781131,176635617,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-13,18323.59022491972,18433.752089999394,18286.86960322649,18360.31084661294,18360.31084661294,196433552,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-14,17980.342423292783,18088.440674334623,17944.309672945503,18016.375173640063,18016.375173640063,247219178,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-15,17676.7896206325,17783.06290492488,17641.36519253504,17712.21404872996,17712.21404872996,236783786,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-16,17581.586729759216,17687.287651982217,17546.353089018216,17616.820370500216,17616.820370500216,242168436,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-17,17408.287703290232,17512.94674759859,17373.40135518745,17443.17405139302,17443.17405139302,216128719,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-18,17466.965894909223,17571.977713916694,17431.961955240065,17501.96983457838,17501.96983457838,320973633,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-19,17312.93233594025,17417.018101486985,17278.237080758005,17347.627591122495,17347.627591122495,276927777,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-20,17073.939275937508,17176.588209460177,17039.722964763285,17108.15558711173,17108.15558711173,181397110,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-21,17329.882658709288,17434.070330004135,17295.15343494434,17364.611882474237,17364.611882474237,226423687,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-22,17294.648747004467,17398.624591174834,17259.99013228101,17329.307361727922,17329.307361727922,307502604,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-23,17310.1836340131,17414.25287429775,17275.493887251552,17344.87338077465,17344.87338077465,329194217,False,nifty50.csv,2026-06-12T18:44:30,False
2022-01-24,17069.104223669943,17171.724088742107,17034.897601979224,17103.310845360666,17103.310845360666,319222151,False,nifty50.csv,2026-06-12T18:44:30,False
